config,img_url,model,price_high,price_low
82KD002URA,https://s.ek.ua/jpg/2068639.jpg,Lenovo V15 G2 ALC,30697,14899
82KD002TRA,https://s.ek.ua/jpg/2068639.jpg,Lenovo V15 G2 ALC,30697,14899
213XPL,https://s.ek.ua/jpg/2131569.jpg,MSI GF63 Thin 11UD,47393,29999
291XUA,https://s.ek.ua/jpg/2131569.jpg,MSI GF63 Thin 11UD,47393,29999
82RN001AUS,https://s.ek.ua/jpg/2342336.jpg,Lenovo IdeaPad 3 15ABA7,36098,15785
82RN0053PB,https://s.ek.ua/jpg/2342336.jpg,Lenovo IdeaPad 3 15ABA7,36098,15785
82RN0054PB,https://s.ek.ua/jpg/2342336.jpg,Lenovo IdeaPad 3 15ABA7,36098,15785
82RN000UUS,https://s.ek.ua/jpg/2342336.jpg,Lenovo IdeaPad 3 15ABA7,36098,15785
82RN000WUS,https://s.ek.ua/jpg/2342336.jpg,Lenovo IdeaPad 3 15ABA7,36098,15785
A715-42G-R2YB,https://s.ek.ua/jpg/1990706.jpg,Acer Aspire 7 A715-42G,42317,24113
A715-42G-R9J0,https://s.ek.ua/jpg/1990706.jpg,Acer Aspire 7 A715-42G,42317,24113
Smartmag.biz.ua,https://s.ek.ua/jpg/1990706.jpg,Acer Aspire 7 A715-42G,42317,24113
A715-42G-R0VS,https://s.ek.ua/jpg/1990706.jpg,Acer Aspire 7 A715-42G,42317,24113
A715-42G-R1A5,https://s.ek.ua/jpg/1990706.jpg,Acer Aspire 7 A715-42G,42317,24113
A715-42G-R8BG,https://s.ek.ua/jpg/1990706.jpg,Acer Aspire 7 A715-42G,42317,24113
G614JV-AS73,https://s.ek.ua/jpg/2387876.jpg,Asus ROG Strix G16,124140,76999
Geekabyte.com.ua,https://s.ek.ua/jpg/2387876.jpg,Asus ROG Strix G16,124140,76999
G614JV-N4156,https://s.ek.ua/jpg/2387876.jpg,Asus ROG Strix G16,124140,76999
G614JV-N4075W,https://s.ek.ua/jpg/2387876.jpg,Asus ROG Strix G16,124140,76999
G614JV-N3074W,https://s.ek.ua/jpg/2387876.jpg,Asus ROG Strix G16,124140,76999
G614JV-N3077W,https://s.ek.ua/jpg/2387876.jpg,Asus ROG Strix G16,124140,76999
52EE123SD,https://s.ek.ua/jpg/2133574.jpg,Gigabyte G5 KD,46718,36999
52RU123SD,https://s.ek.ua/jpg/2133574.jpg,Gigabyte G5 KD,46718,36999
Mta.ua,https://s.ek.ua/jpg/2133574.jpg,Gigabyte G5 KD,46718,36999
G713PV-LL043,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
G713PV-LL030W,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
G713PV-LL030,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
G713PV-LL030T,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
G713PV-LL031T,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
G713PV-LL032T,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
G713PV-LL033T,https://s.ek.ua/jpg/2387849.jpg,Asus ROG Strix G17,132796,82149
GU603ZV-N4010,https://s.ek.ua/jpg/2388927.jpg,Asus ROG Zephyrus G16,99501,75499
