date,title,url
27 березня,"Онлайн мітап ""Введення в Magento 2. Розробка сучасних високонавантажених 
інтернет-магазинів",/uk/anounce/2071.htm
22 березня,24 березня – Всесвітній день боротьби з туберкульозом,/uk/news/tubekulosisday.htm
31 жовтня,Міжнародний міждисциплінарний семінар «Покращення стійкості навколишнього середовища: досвід УжНУ»,/uk/news/seminar-pokrashchennya-stijkosti-navkolishnogo-seredovishcha-dosv.htm
23 грудня,Переможці конкурсу GlushkovCYBER – із заслуженими нагородами,/uk/news/peremozhtsi-konkursu-GlushkovCYBER-iz-zasluzhenimi-nagorodami.htm?redirect=1
21 березня,Бронхіальна астма і спорт: два крила у життєвому польоті,/uk/news/bronchastma.htm
27 березня,"Відкрита зустріч: ЄДЕБО 9039, УДУ, ОП Соціологія, бакалаври",/uk/anounce/2072.htm
31 січня,Міжнародна науково-практична конференція,/uk/news/onfviklfzfv.htm
5 жовтня,Студентки четвертого курсу німецької філології продемонстрували  прекрасні знання німецької мови та навички перекладу,/uk/news/studentki-chetvertogo-kursu-nimetskoji-filologiji-prodemonstruval.htm
12 грудня,Студенти УжНУ – другі серед українських команд у півфіналі чемпіонату світу з програмування!,/uk/news/studenti-uzhnu-drugi-sered-ukrajinskih-komand-u-pivfinali.htm?redirect=1
15 березня,Що таке поліпрагмазія,/uk/news/polypragmaziya.htm
22 березня,Навчання 2 курсу готельно-ресторанної справи сервірування столів різного типу,/uk/news/bakalavr.htm
30 березня,Науково-практичний семінар на тему: «Війна як чинник трансформації юридичної освіти у системі юстиції»,/uk/anounce/2065.htm
6 лютого,Відійшов у вічність Віталій Петрович Єпішев,/uk/news/vidijshov-u-vichnist-vitalij-petrovich-Yepishev.htm
10 березня,Пізнаємо діалект разом із нами,/uk/news/piznayemo-dialekt-razom-iz-nami.htm
2 грудня,Айтівці УжНУ блискуче виступили на Proggy-Buggy і всеукраїнській олімпіаді,/uk/news/ajtivtsi-uzhnu-bliskuche-vistupili-na-Proggy-Buggy.htm
13 березня,Чи має  лікар  право відмовитися від надання медичної  послуги пацієнту?,/uk/news/vidmovapac.htm
20 березня,Міжнародна наукова конференція  «Актуальні проблеми розвитку сфери гостинності: перспективи та виклики»,/uk/news/mizhn-konfer-akt-probl-rozvitku-sferi-gost-perspektivi-ta-vikliki.htm
20 січня,«Горизонт Європа»: про можливості Програми ЄС для науковців йшла мова в УжНУ,/uk/news/gorizont-pro-mozhlivosti-programi-dlya-naukovtsiv-jshla-mova.htm
24 лютого,Рік війни: студенти-журналісти записали щемливе відео,/uk/news/rik-vijni-studenti-zhurnalisti-zapisali-shchemlive-video.htm
